iso3c,year,export_price_shock,n_commodities,total_export_share
ROU,2020,4.40125547594758,9,143.26889718839968
ROU,2021,46.7771326035117,9,145.34142045658749
ROU,2022,33.71350114717764,9,131.90361975040804
RUS,2001,-10.955024883763524,10,100.64844905964054
RUS,2002,1.1410410572759766,10,102.07610083574903
RUS,2003,9.407081169062877,10,101.78932594996836
RUS,2004,25.95442758637567,10,100.71580908887113
RUS,2005,39.93379520752851,10,101.01418562902835
RUS,2006,23.31924646147991,10,100.92586832950069
RUS,2007,8.145532618946673,10,102.05878943026818
RUS,2008,32.493103771092485,10,101.23658974707254
RUS,2009,-34.44570512442313,10,102.05606097610556
RUS,2010,30.314936068734568,10,101.0270498206509
RUS,2011,27.914564953429114,10,101.43428210709247
RUS,2012,2.2827459114760056,10,101.81371520001179
RUS,2013,-1.4160925381289275,10,101.39772038854413
RUS,2014,-8.146045418284693,10,102.1840361281375
RUS,2015,-40.532914136971726,10,102.81924103754693
RUS,2016,-12.967228751868843,10,103.28674513348976
RUS,2017,20.88168793203782,10,103.42735903777329
RUS,2018,25.250541136845413,10,103.83391162808061
RUS,2019,-7.291568467184273,10,103.04219535865631
RUS,2020,-17.08259834160352,10,104.73410094642709
RUS,2021,53.965097006692076,10,103.324483203397
RWA,2001,-12.929133356158145,7,100.0072423612231
RWA,2002,-1.9870041763937965,6,100.00083804659876
RWA,2003,6.134375554903809,6,100.7082357213684
RWA,2004,22.971363866252712,8,100.00928162247867
RWA,2005,56.3149330130959,8,100.03488297144663
RWA,2006,7.63396540273679,8,100.1827921022921
RWA,2007,9.096519153495867,9,100.63706773502949
RWA,2008,36.57384174935327,9,100.07498171140998
RWA,2009,12.28946399027672,9,100.01464472025506
RWA,2010,60.041746455589774,9,100.16940010890562
RWA,2011,25.120362462168842,10,100.1140969308588
RWA,2012,-25.04707583629019,9,100.57798708124874
RWA,2013,-5.044092890393758,10,103.44232818833814
RWA,2014,-3.7946266084617895,10,103.36939020175299
RWA,2015,-32.00219211973871,10,105.00587239607921
RWA,2016,-1.9343721747496747,10,105.96218931643249
RWA,2017,7.717123636132925,10,105.1027129011317
RWA,2018,3.7509113999985275,10,105.11060789920414
RWA,2019,5.68532749666042,10,104.13890435850882
