iso3c,country,year,total_cases_per_million,total_deaths_per_million,excess_mortality,vaccination_rate,full_vaccination_rate,booster_rate,peak_icu_patients,peak_hosp_patients,avg_stringency,population
CHN,China,2024,69726.8,85.82,NA,NA,NA,NA,NA,NA,NA,1425887360
CIV,Cote d'Ivoire,2020,726.47,4.41,NA,NA,NA,NA,NA,NA,39.29524861878452,28160548
CIV,Cote d'Ivoire,2021,2100.58,23.26,NA,17.58,7.68,NA,NA,NA,19.700410958904108,28160548
CIV,Cote d'Ivoire,2022,2893.01,27.31,NA,46.69,41.41,7.21,NA,NA,16.024657534246575,28160548
CIV,Cote d'Ivoire,2023,2907.85,27.47,NA,48.18,43.2,11.15,NA,NA,NA,28160548
CIV,Cote d'Ivoire,2024,2909.49,27.47,NA,NA,NA,NA,NA,NA,NA,28160548
CMR,Cameroon,2020,950.94,16.21,NA,NA,NA,NA,NA,NA,42.5304143646409,27914542
CMR,Cameroon,2021,3932.87,66.99,NA,2.99,2.36,NA,NA,NA,31.259095890410958,27914542
CMR,Cameroon,2022,4487.17,71.11,NA,11.58,9.78,1.63,NA,NA,21.271917808219186,27914542
CMR,Cameroon,2023,4528.57,71.44,NA,13.45,11.45,2.88,NA,NA,NA,27914542
CMR,Cameroon,2024,4532.52,71.44,NA,NA,NA,NA,NA,NA,NA,27914542
COD,Democratic Republic of Congo,2020,164.43,5.65,NA,NA,NA,NA,NA,NA,44.88334254143646,99010216
COD,Democratic Republic of Congo,2021,732.87,11.77,NA,0.26,0.12,NA,NA,NA,37.13482191780822,99010216
COD,Democratic Republic of Congo,2022,928.44,14.28,NA,9.24,6.92,NA,NA,NA,30.749205479452055,99010216
COD,Democratic Republic of Congo,2023,970.13,14.34,NA,17.22,14.54,NA,NA,NA,NA,99010216
COD,Democratic Republic of Congo,2024,986.44,14.4,NA,NA,NA,NA,NA,NA,NA,99010216
COG,Congo,2020,1058.64,16.57,NA,NA,NA,NA,NA,NA,52.588591160220986,5970430
COG,Congo,2021,3328.69,60.81,NA,10.43,2.28,NA,NA,NA,45.12271232876713,5970430
COG,Congo,2022,4152.87,63.96,NA,11.65,10.96,NA,NA,NA,33.43334246575342,5970430
COG,Congo,2023,4177.72,64.46,NA,NA,NA,NA,NA,NA,NA,5970430
COG,Congo,2024,4180.04,64.46,NA,NA,NA,NA,NA,NA,NA,5970430
COK,Cook Islands,2020,0,0,NA,NA,NA,NA,NA,NA,NA,17032
COK,Cook Islands,2021,0,0,NA,75.39,73.38,NA,NA,NA,NA,17032
COK,Cook Islands,2022,449243.9,67.81,NA,88.56,86.4,59.94,NA,NA,NA,17032
COK,Cook Islands,2023,488438.3,135.62,NA,88.73,86.47,60.12,NA,NA,NA,17032
COK,Cook Islands,2024,498067.4,135.62,NA,NA,NA,NA,NA,NA,NA,17032
COL,Colombia,2020,30436.21,805.79,1030.11,NA,NA,NA,NA,NA,63.89298342541435,51874028
COL,Colombia,2021,98926.51,2506.59,3181.78,73.94,54.6,6.41,NA,NA,61.00991780821915,51874028
COL,Colombia,2022,122508.52,2746.07,3685.92,82.72,71.09,27.99,NA,NA,27.75649315068494,51874028
COL,Colombia,2023,123043.04,2758.65,3681.48,82.92,71.72,28.81,NA,NA,NA,51874028
COL,Colombia,2024,123543.3,2758.65,NA,NA,NA,NA,NA,NA,NA,51874028
COM,Comoros,2020,792.38,8.39,NA,NA,NA,NA,NA,NA,NA,836783
COM,Comoros,2021,6716.68,183.41,NA,40.08,29.41,NA,NA,NA,NA,836783
COM,Comoros,2022,10767.31,191.8,NA,52.44,47.45,NA,NA,NA,NA,836783
COM,Comoros,2023,10919.55,191.8,NA,NA,NA,NA,NA,NA,NA,836783
COM,Comoros,2024,10919.55,191.8,NA,NA,NA,NA,NA,NA,NA,836783
CPV,Cape Verde,2020,22506.98,215.49,323.7,NA,NA,NA,NA,NA,58.9213535911602,593162
CPV,Cape Verde,2021,75061.09,677.25,969.15,51.05,43.15,NA,NA,NA,59.33367123287671,593162
CPV,Cape Verde,2022,121577.68,792.69,NA,60.14,52.05,0.13,NA,NA,26.83328767123283,593162
CPV,Cape Verde,2023,124048.1,802.31,NA,NA,NA,NA,NA,NA,NA,593162
CPV,Cape Verde,2024,124048.1,802.31,NA,NA,NA,NA,NA,NA,NA,593162
CRI,Costa Rica,2020,32284.45,413.83,185.2,0,NA,NA,NA,NA,54.99527624309392,5180836
CRI,Costa Rica,2021,112071.89,1446.15,1162.06,76.14,67.66,5.91,NA,NA,56.3272602739726,5180836
CRI,Costa Rica,2022,228599.12,1785.21,1579.47,88.54,82.82,53.55,NA,NA,19.1693698630137,5180836
CRI,Costa Rica,2023,242150.52,1843.06,1861.49,89.77,84.35,57.65,NA,NA,NA,5180836
CRI,Costa Rica,2024,242966.97,1844.24,NA,NA,NA,NA,NA,NA,NA,5180836
CUB,Cuba,2020,998.03,12.75,44.71,NA,NA,NA,NA,NA,61.27734806629833,11212198
CUB,Cuba,2021,87217.23,752.27,4765.8,93.19,86.27,19.39,NA,NA,68.03665753424659,11212198
