iso3c,mean_elevation,sd_elevation,min_elevation,max_elevation,range_elevation,cv_elevation,ruggedness_index,terrain_heterogeneity
GEO,1315.2944606413994,861.8084807449073,0,3431,3431,0.6547231691037948,861.8084807449073,2.606559628252294
DEU,256.5643402399128,249.64107885733873,-2,1716,1718,0.9692377392957666,249.64107885733873,6.670178016101682
GHA,182.54177215189873,90.85159783013005,0,630,630,0.4949913949558114,90.85159783013005,3.432461137394999
GRC,356.4160090191657,341.4065275219827,-1,1545,1546,0.955207710082386,341.4065275219827,4.325491754671512
GTM,696.5811518324607,720.7138976518256,6,2929,2923,1.033161368764907,720.7138976518256,4.190193488344166
GIN,424.64218009478674,210.38508988973203,2,1087,1085,0.494276882622115,210.38508988973203,2.5490894717210124
GNB,33.804054054054056,28.778690808953254,4,149,145,0.8268775460541801,28.778690808953254,4.1661813240147545
GUY,218.48221906116643,219.95373616037816,1,1313,1312,1.0021483157097129,219.95373616037816,5.977705190024369
HTI,336.43307086614175,275.6286779418771,8,1321,1313,0.8168395505348016,275.6286779418771,3.8911420170812523
HND,556.6276849642005,433.57468167613376,1,1759,1758,0.7775343537757977,433.57468167613376,3.1526411751110652
HUN,149.07692307692307,74.66440593364737,74,511,437,0.49750757413501584,74.66440593364737,2.9118400820092263
ISL,437.29050925925924,344.43561252120446,0,1758,1758,0.785861444052996,344.43561252120446,4.011038256272397
IND,605.0579085457272,1034.871420658935,0,5977,5977,1.7075454442004923,1034.871420658935,9.862093895189282
IDN,277.58061911170927,442.4840308311771,-1,3565,3566,1.5883518108405936,442.4840308311771,12.800603327577695
IRN,1218.643715107427,676.6676160042703,-29,3364,3393,0.5548076111265567,676.6676160042703,2.7819599756648135
IRQ,326.114844227245,351.5299432248563,1,2525,2524,1.074637698131028,351.5299432248563,7.715944551408343
IRL,100.57077625570776,61.49453113181246,2,455,453,0.6054352777318346,61.49453113181246,4.459944254630463
ISR,284.1559633027523,260.1579354471948,-352,1061,1413,0.9123355949985276,260.1579354471948,4.955183064152886
ITA,525.3118206521739,592.4110513448297,-4,2863,2867,1.1255894853563229,592.4110513448297,5.4473410770964374
JAM,264.7916666666667,196.6807498864251,1,875,874,0.7399808743179499,196.6807498864251,3.288289700580028
JPN,300.65284974093265,320.5238482204295,-1,2223,2224,1.0625586613741715,320.5238482204295,7.372713375358559
JOR,742.4644808743169,272.5920281362396,-352,1376,1728,0.3666510440628857,272.5920281362396,2.3242536051861764
KAZ,357.8325969957426,434.06673158494993,-125,4685,4810,1.209663601409378,434.06673158494993,13.404579294832203
KEN,788.7826797385621,629.0857759551628,5,3545,3540,0.7965302254582312,629.0857759551628,4.4822456744326535
KIR,5.5394736842105265,4.431525815408455,0,38,38,0.6776578711690997,4.431525815408455,5.810865191146881
PRK,526.8717504332756,480.1839898195781,2,1942,1940,0.9096603283381701,480.1839898195781,3.6751351031906023
KOR,203.4941634241245,199.94895295182386,2,936,934,0.9777733975572016,199.94895295182386,4.567367519741223
KWT,109.53012048192771,84.46609037451681,1,282,281,0.764190702102125,84.46609037451681,2.542293437976891
KGZ,2633.3813847900115,988.1191188397867,404,4810,4406,0.37508582642772903,988.1191188397867,1.6724989120552891
LAO,656.52754982415,344.5333249119135,81,1580,1499,0.5239831015507349,344.5333249119135,2.2797523851295574
LVA,86.61124694376528,51.30304973792408,3,221,218,0.5855760707395682,51.30304973792408,2.4882650071163455
LBN,939.6727272727272,608.4909401481868,14,2230,2216,0.6468678452200607,608.4909401481868,2.3557608674642907
LSO,2134.84496124031,413.39095920229516,1511,3072,1561,0.19354914177021268,413.39095920229516,0.7308582918366457
LBR,214.47305389221557,144.27221577524827,6,685,679,0.6695603611178985,144.27221577524827,3.151206091596265
LBY,411.5689497716895,228.6840995280535,-40,1783,1823,0.5542930452100295,228.6840995280535,4.418655356901738
LTU,102.10178117048346,48.189250874863816,-2,217,219,0.4673949404926449,48.189250874863816,2.1241146128976527
LUX,359.1111111111111,66.2365536977252,277,468,191,0.1839336572908136,66.2365536977252,0.5303918543659365
MDG,499.6946946946947,441.0412236098425,0,2002,2002,0.8808585916389094,441.0412236098425,3.9984446034938443
MWI,878.0410958904109,400.0956900996622,52,2175,2123,0.4551501539235677,400.0956900996622,2.4151316814710926
MYS,258.50539419087136,311.2867907980731,1,1835,1834,1.1995388063845622,311.2867907980731,7.06729047277937
MDV,3.0106382978723403,1.4330558434898868,0,6,6,0.35731365858899033,1.4330558434898868,1.4960212201591512
MLI,320.0797621996532,81.66352428323013,35,805,770,0.25434030386645884,81.66352428323013,2.3981579988875166
MHL,3.6454545454545455,2.182441876382162,0,11,11,0.4698015780861796,2.182441876382162,2.3679060665362033
MRT,260.6037296037296,124.21686955754413,-2,648,650,0.4748283587000252,124.21686955754413,2.4846740563852157
MUS,99.38888888888889,119.19146183835234,1,386,385,1.1872973509077709,119.19146183835234,3.835085777531821
MEX,980.4564193168434,806.0065786243706,-2,3433,3435,0.8212352201898102,806.0065786243706,3.499900690843696
FSM,17.223880597014926,32.61521344938836,0,199,199,1.7896963973046847,32.61521344938836,10.91973791973792
MDA,140.4840425531915,50.43813132533521,19,257,238,0.3564934279169525,50.43813132533521,1.6821685025752846
MNG,1482.8425952449154,529.7451349827028,552,3307,2755,0.35700898240845136,529.7451349827028,1.8566659353415271
MNE,990.0666666666667,480.8699698753582,22,1887,1865,0.48520446307886267,480.8699698753582,1.8818108435355845
MAR,837.0324044069994,580.4861576597818,-24,2852,2876,0.6926774604503987,580.4861576597818,3.4318482016636196
MOZ,355.17880045265935,302.15781784732735,1,1614,1613,0.8483318419381558,302.15781784732735,4.528624381771391
MMR,591.6208026208026,623.9920583164186,0,4456,4456,1.0529364739760736,623.9920583164186,7.519142055583964
NAM,1061.5565627266135,375.9475576163495,-41,1956,1997,0.3538141599272937,375.9475576163495,1.8794293593891347
NPL,2203.5275862068966,1841.92984914895,63,6104,6041,0.8355213428370697,1841.92984914895,2.7402696331843712
NLD,13.05531914893617,27.87351474338759,-5,233,238,1.9831292657269404,27.87351474338759,16.933091129276416
NZL,407.98810408921935,375.07918589507915,2,1768,1766,0.9170906981031822,375.07918589507915,4.317974000570817
NIC,211.26164079822615,252.85038670849417,0,1222,1222,1.1912203531341363,252.85038670849417,5.7570458581426935
NER,460.6805446451951,156.86538044149452,168,1641,1473,0.3397703937514775,156.86538044149452,3.190517809521325
NGA,329.94624033731554,218.86792991857934,3,1569,1566,0.6613398287755109,218.86792991857934,4.731886358351922
MKD,847.5042016806723,370.85398181717545,110,1964,1854,0.4370679380050299,370.85398181717545,2.185021590143802
NOR,464.2790288529205,348.09328966094176,0,1700,1700,0.748138790005465,348.09328966094176,3.653721518872469
OMN,263.8828337874659,242.17338245292285,0,1720,1720,0.9142660511070927,242.17338245292285,6.493437024235692
PAK,1076.0655635341866,1348.3444988735687,0,5785,5785,1.2518685440552306,1348.3444988735687,5.371075072735237
PLW,28.142857142857142,18.715921411614076,6,64,58,0.6422129896142085,18.715921411614076,1.9901960784313726
PAN,253.93558282208588,346.6805918431781,1,2417,2416,1.3598752594890573,346.6805918431781,9.476903825097162
PNG,479.15338097855965,679.4135956816642,-2,3095,3097,1.4149928389486903,679.4135956816642,6.450022269317918
PRY,166.8997093023256,87.21224334350276,52,648,596,0.5194305797544033,87.21224334350276,3.5497381292472836
PER,1432.334957369062,1592.6207712943751,0,5093,5093,1.1111295117072202,1592.6207712943751,3.553251787948007
PHL,220.37760416666666,281.2038719199827,0,1752,1752,1.2702453483428033,281.2038719199827,7.91407968568034
POL,176.5203506574828,144.564861275714,-4,1367,1371,0.8143565554049921,144.564861275714,7.7230582010582
PRT,315.17903930131007,243.16138718172925,1,1176,1175,0.7690623253175333,243.16138718172925,3.716248877839928
QAT,22.326923076923077,15.48398433023829,3,54,51,0.6637816860448401,15.48398433023829,2.1863149216817805
ROU,378.84331797235023,362.676992500696,-2,1759,1761,0.9548068251844203,362.676992500696,4.636122097396452
RUS,340.1181068685619,373.9303038383817,-30,3431,3461,1.0961901356425587,373.9303038383817,10.146045989090744
RWA,1676.2727272727273,305.52827512632905,1128,2581,1453,0.18215777920810947,305.52827512632905,0.8662872628726287
WSM,284.4,243.92293865071403,17,885,868,0.8546704227425159,243.92293865071403,3.0413454800280313
SAU,622.3179352038444,399.48863726598734,-3,2368,2371,0.6409066941661836,399.48863726598734,3.803837281249751
SEN,52.473684210526315,39.5291194316193,2,297,295,0.7392256586621719,39.5291194316193,5.516732283464567
SRB,430.9583333333333,359.05619440384777,56,1427,1371,0.8312287706850918,359.05619440384777,3.1739172373878657
SYC,38.972972972972975,63.250158755394295,0,223,223,1.5823231061187213,63.250158755394295,5.578769438810006
SLE,198.521568627451,179.61224235510494,2,732,730,0.9002146664678595,179.61224235510494,3.658752309446126
SVK,446.89179104477614,276.23651770743885,99,1367,1268,0.6167483379480452,276.23651770743885,2.831040946390636
SVN,536.9549549549549,314.29738052844704,38,1461,1423,0.5842447915639413,314.29738052844704,2.6452028871435034
SLB,137.93023255813952,139.4066741390033,0,992,992,1.0034293585499066,139.4066741390033,7.140274522932709
SOM,410.101860920666,370.0038963292663,1,1889,1888,0.9000297286435034,370.0038963292663,4.59253576661465
ZAF,1007.3756345177665,458.87683560819465,0,2935,2935,0.4550653743509406,458.87683560819465,2.9106216964510447
SSD,525.1210605302651,165.90601302192968,380,2233,1853,0.3153380951044174,165.90601302192968,3.5220030882861915
