Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
44609,WHOSIS_000015,COUNTRY,VNM,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2009,NA,NA,NA,NA,NA,NA,18.8 [18.5-19.2],18.82937336,18.52853072,19.2111918,NA,2024-08-02T10:09:37.193+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00
45623,WHOSIS_000015,COUNTRY,ATG,AMR,YEAR,Americas,SEX,SEX_FMLE,2002,NA,NA,NA,NA,NA,NA,21.1 [20.9-21.3],21.13273184,20.93040775,21.34472024,NA,2024-08-02T10:09:37.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
47322,WHOSIS_000015,COUNTRY,BLR,EUR,YEAR,Europe,SEX,SEX_MLE,2004,NA,NA,NA,NA,NA,NA,13.6 [13.5-13.6],13.59361594,13.54119426,13.6152434,NA,2024-08-02T10:09:37.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
48414,WHOSIS_000015,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2006,NA,NA,NA,NA,NA,NA,19.1 [18.4-19.9],19.06487791,18.39328458,19.94111479,NA,2024-08-02T10:09:37.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
49365,WHOSIS_000015,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2014,NA,NA,NA,NA,NA,NA,21.4 [21.1-21.6],21.36878026,21.14582877,21.64578076,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
49706,WHOSIS_000015,COUNTRY,MDV,SEAR,YEAR,South-East Asia,SEX,SEX_MLE,2019,NA,NA,NA,NA,NA,NA,17.3 [17.0-17.7],17.31876986,17.04801637,17.66643313,NA,2024-08-02T10:09:37.193+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
50651,WHOSIS_000015,COUNTRY,TCD,AFR,YEAR,Africa,SEX,SEX_MLE,2001,NA,NA,NA,NA,NA,NA,13.7 [13.2-14.1],13.65779258,13.22185129,14.12526214,NA,2024-08-02T10:09:37.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
51411,WHOSIS_000015,COUNTRY,NAM,AFR,YEAR,Africa,SEX,SEX_FMLE,2007,NA,NA,NA,NA,NA,NA,16.8 [16.2-17.4],16.76923296,16.24982322,17.39229591,NA,2024-08-02T10:09:37.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
51659,WHOSIS_000015,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,SEX_BTSX,2007,NA,NA,NA,NA,NA,NA,19.5 [19.1-20.0],19.5373838,19.1004815,20.005196,NA,2024-08-02T10:09:37.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
52016,WHOSIS_000015,COUNTRY,HND,AMR,YEAR,Americas,SEX,SEX_FMLE,2014,NA,NA,NA,NA,NA,NA,18.3 [17.8-19.0],18.30912455,17.76679854,18.98920126,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
52055,WHOSIS_000015,COUNTRY,GNB,AFR,YEAR,Africa,SEX,SEX_MLE,2002,NA,NA,NA,NA,NA,NA,11.9 [11.5-12.3],11.86870466,11.46488868,12.2729233,NA,2024-08-02T10:09:37.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
53572,WHOSIS_000015,COUNTRY,KEN,AFR,YEAR,Africa,SEX,SEX_BTSX,2011,NA,NA,NA,NA,NA,NA,16.5 [16.2-16.8],16.52106695,16.19564864,16.76904788,NA,2024-08-02T10:09:37.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
53722,WHOSIS_000015,COUNTRY,ARM,EUR,YEAR,Europe,SEX,SEX_BTSX,2017,NA,NA,NA,NA,NA,NA,19.6 [19.5-19.7],19.58933,19.51406072,19.711259,NA,2024-08-02T10:09:37.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
54978,WHOSIS_000015,COUNTRY,KHM,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2011,NA,NA,NA,NA,NA,NA,18.1 [17.7-18.6],18.1350202,17.68663583,18.59815693,NA,2024-08-02T10:09:37.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
55308,WHOSIS_000015,COUNTRY,CAF,AFR,YEAR,Africa,SEX,SEX_MLE,2005,NA,NA,NA,NA,NA,NA,10.3 [9.8-10.7],10.27585363,9.806575958,10.68312478,NA,2024-08-02T10:09:37.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
55606,WHOSIS_000015,COUNTRY,LUX,EUR,YEAR,Europe,SEX,SEX_FMLE,2003,NA,NA,NA,NA,NA,NA,24.0 [23.9-24.1],23.99472215,23.91434556,24.11419424,NA,2024-08-02T10:09:37.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
55659,WHOSIS_000015,COUNTRY,VCT,AMR,YEAR,Americas,SEX,SEX_MLE,2014,NA,NA,NA,NA,NA,NA,19.8 [19.6-20.0],19.78367534,19.58994351,19.97302863,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
55704,WHOSIS_000015,COUNTRY,TJK,EUR,YEAR,Europe,SEX,SEX_MLE,2002,NA,NA,NA,NA,NA,NA,16.3 [15.9-16.7],16.26137502,15.9076414,16.66936541,NA,2024-08-02T10:09:37.193+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
56057,WHOSIS_000015,COUNTRY,GUY,AMR,YEAR,Americas,SEX,SEX_FMLE,2010,NA,NA,NA,NA,NA,NA,18.2 [17.9-18.5],18.18153578,17.92938288,18.48698433,NA,2024-08-02T10:09:37.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
58304,WHOSIS_000015,COUNTRY,BWA,AFR,YEAR,Africa,SEX,SEX_MLE,2021,NA,NA,NA,NA,NA,NA,12.9 [12.3-13.4],12.89073203,12.32525757,13.43817859,NA,2024-08-02T10:09:37.193+02:00,2021,2021-01-01T00:00:00+01:00,2021-12-31T00:00:00+01:00
60784,WHOSIS_000015,COUNTRY,MMR,SEAR,YEAR,South-East Asia,SEX,SEX_BTSX,2004,NA,NA,NA,NA,NA,NA,15.3 [14.9-15.8],15.33592421,14.90086086,15.79858435,NA,2024-08-02T10:09:37.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
61814,WHOSIS_000015,COUNTRY,PSE,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2006,NA,NA,NA,NA,NA,NA,18.6 [18.5-18.9],18.63708109,18.46034789,18.89492969,NA,2024-08-02T10:09:37.193+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
62789,WHOSIS_000015,COUNTRY,CIV,AFR,YEAR,Africa,SEX,SEX_FMLE,2014,NA,NA,NA,NA,NA,NA,17.9 [17.3-18.4],17.86258216,17.34406222,18.40306012,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
62817,WHOSIS_000015,COUNTRY,AFG,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2018,NA,NA,NA,NA,NA,NA,15.3 [14.8-15.9],15.3103989,14.77106555,15.89959341,NA,2024-08-02T10:09:37.193+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
62871,WHOSIS_000015,COUNTRY,LVA,EUR,YEAR,Europe,SEX,SEX_FMLE,2007,NA,NA,NA,NA,NA,NA,20.8 [20.8-20.9],20.83112272,20.76508278,20.94863578,NA,2024-08-02T10:09:37.193+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
63262,WHOSIS_000015,COUNTRY,BDI,AFR,YEAR,Africa,SEX,SEX_MLE,2011,NA,NA,NA,NA,NA,NA,15.1 [14.5-15.6],15.05406156,14.54778234,15.56424195,NA,2024-08-02T10:09:37.193+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
63598,WHOSIS_000015,COUNTRY,MLT,EUR,YEAR,Europe,SEX,SEX_BTSX,2008,NA,NA,NA,NA,NA,NA,22.7 [22.6-22.8],22.69787633,22.57636909,22.84864414,NA,2024-08-02T10:09:37.193+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
64861,WHOSIS_000015,COUNTRY,JPN,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2010,NA,NA,NA,NA,NA,NA,23.1 [23.1-23.2],23.11148156,23.06941987,23.15354326,NA,2024-08-02T10:09:37.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
66201,WHOSIS_000015,REGION,SEAR,NA,YEAR,NA,SEX,SEX_MLE,2004,NA,NA,NA,NA,NA,NA,16.7 [16.4-17.0],16.66181911,16.42425851,16.95405355,NA,2024-08-02T10:09:37.193+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
66395,WHOSIS_000015,COUNTRY,MDG,AFR,YEAR,Africa,SEX,SEX_MLE,2001,NA,NA,NA,NA,NA,NA,14.6 [14.2-15.0],14.62175887,14.2317876,15.01109755,NA,2024-08-02T10:09:37.193+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
66626,WHOSIS_000015,COUNTRY,JPN,WPR,YEAR,Western Pacific,SEX,SEX_FMLE,2005,NA,NA,NA,NA,NA,NA,27.6 [27.6-27.7],27.60849042,27.56572912,27.65125173,NA,2024-08-02T10:09:37.193+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
66677,WHOSIS_000015,COUNTRY,QAT,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,2003,NA,NA,NA,NA,NA,NA,15.1 [14.6-15.5],15.06194767,14.63130139,15.51261429,NA,2024-08-02T10:09:37.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
67107,WHOSIS_000015,COUNTRY,GEO,EUR,YEAR,Europe,SEX,SEX_MLE,2014,NA,NA,NA,NA,NA,NA,16.1 [16.0-16.1],16.06631172,16.00130172,16.13526131,NA,2024-08-02T10:09:37.193+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
67409,WHOSIS_000015,WORLDBANKINCOMEGROUP,WB_HI,NA,YEAR,NA,SEX,SEX_FMLE,2013,NA,NA,NA,NA,NA,NA,25.5 [25.5-25.5],25.45427964,25.45361396,25.50466465,NA,2024-08-02T10:09:37.193+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
69118,WHOSIS_000015,REGION,EMR,NA,YEAR,NA,SEX,SEX_BTSX,2017,NA,NA,NA,NA,NA,NA,18.8 [18.2-19.2],18.75843381,18.19073397,19.19698587,NA,2024-08-02T10:09:37.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
70625,WHOSIS_000015,COUNTRY,KIR,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2010,NA,NA,NA,NA,NA,NA,13.2 [12.7-13.8],13.24995271,12.73073641,13.7982532,NA,2024-08-02T10:09:37.193+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
74256,WHOSIS_000015,COUNTRY,KGZ,EUR,YEAR,Europe,SEX,SEX_FMLE,2017,NA,NA,NA,NA,NA,NA,21.0 [20.8-21.2],20.97018131,20.8159054,21.18201208,NA,2024-08-02T10:09:37.193+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
76227,WHOSIS_000015,COUNTRY,ETH,AFR,YEAR,Africa,SEX,SEX_FMLE,2003,NA,NA,NA,NA,NA,NA,14.8 [14.5-15.3],14.8167668,14.47001465,15.26740617,NA,2024-08-02T10:09:37.193+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
